minutes,n_seeds,MAPE_percent_mean,MAPE_percent_std,MAPE_percent_min,MAPE_percent_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,paper_MAPE_percent,paper_MAE,paper_RMSE,MAPE_mean_minus_paper_pp,MAE_mean_minus_paper,RMSE_mean_minus_paper
15,3,5.237369643900005,0.01928371821865712,5.221519944679677,5.258838941239974,2.242510618210005,0.01366979938776066,2.227263814562058,2.2536716250419366,4.063906699600929,0.013642464098012643,4.04859167967504,4.074758650073223,5.26,2.25,4.04,-0.022630356099995197,-0.007489381789994809,0.023906699600929393
30,3,7.391795179778768,0.06923374291109836,7.326653134170456,7.464499687080953,3.051811202945661,0.04832767648734672,2.999823258553041,3.0953694725386227,5.743004584844274,0.06223090723386568,5.676036678538367,5.799053122170272,7.33,3.03,5.7,0.06179517977876792,0.02181120294566119,0.04300458484427416
45,3,8.896149702489174,0.07450263850202593,8.824020969084215,8.972818594885359,3.6342183979704,0.07792122529955063,3.554606778248969,3.7103313676784655,6.855537462877997,0.11965015779601092,6.747063419206045,6.983877093626898,8.69,3.57,6.77,0.2061497024891743,0.06421839797040008,0.08553746287799768
