minutes,selected_epoch,selected_MAPE_percent,final_epoch_MAPE_percent,MAPE_difference_pp,selected_MAE,final_epoch_MAE,MAE_difference,selected_RMSE,final_epoch_RMSE,RMSE_difference
15,49,5.258838941239974,5.278630922152192,-0.019791980912217788,2.2465964150260214,2.262451839921486,-0.015855424895464765,4.0683697690545255,4.081413159049313,-0.013043389994787269
30,49,7.464499687080953,7.488201657774936,-0.023701970693982943,3.0602408777453194,3.079461530878707,-0.01922065313338761,5.7539239538241835,5.770341173359832,-0.016417219535648897
45,49,8.972818594885359,9.025176368667433,-0.052357773782073735,3.6377170479837653,3.664084222698187,-0.026367174714421626,6.835671875801049,6.866807647202708,-0.031135771401658907
