epoch,metric,previous_best,new_best
1,15_min_MAPE,40.0,0.07516529580690874
1,15_min_MAE,100000.0,3.196141500939996
1,15_min_RMSE,100000.0,5.375963202982036
1,30_min_MAPE,40.0,0.10783840128500821
1,30_min_MAE,100000.0,4.633840102530113
1,30_min_RMSE,100000.0,7.952104138701839
1,45_min_MAPE,40.0,0.130277297845777
1,45_min_MAE,100000.0,5.576972124369926
1,45_min_RMSE,100000.0,9.58434609866231
2,15_min_MAPE,0.07516529580690874,0.06174753093694511
2,15_min_MAE,3.196141500939996,2.5395828283029758
2,15_min_RMSE,5.375963202982036,4.470042102958314
2,30_min_MAPE,0.10783840128500821,0.08851246270686428
2,30_min_MAE,4.633840102530113,3.584249030086001
2,30_min_RMSE,7.952104138701839,6.5224474784621504
2,45_min_MAPE,0.130277297845777,0.1104320988601401
2,45_min_MAE,5.576972124369926,4.425310510563957
2,45_min_RMSE,9.58434609866231,7.99049344880306
4,15_min_MAPE,0.06174753093694511,0.05814267028904486
4,15_min_MAE,2.5395828283029758,2.5118266251237644
4,15_min_RMSE,4.470042102958314,4.390500595375945
4,30_min_MAPE,0.08851246270686428,0.0843465356060147
4,45_min_MAPE,0.1104320988601401,0.10558201923954702
5,15_min_MAE,2.5118266251237644,2.5067665693428416
5,15_min_RMSE,4.390500595375945,4.388399437305394
5,30_min_MAE,3.584249030086001,3.546012408148403
5,30_min_RMSE,6.5224474784621504,6.449461063558674
5,45_min_MAE,4.425310510563957,4.34603869529818
5,45_min_RMSE,7.99049344880306,7.910476113935913
6,45_min_MAE,4.34603869529818,4.340708592113446
7,15_min_MAPE,0.05814267028904486,0.056731953087762
7,15_min_MAE,2.5067665693428416,2.477943361676404
7,15_min_RMSE,4.388399437305394,4.282490562683035
7,30_min_MAPE,0.0843465356060147,0.08313938963940769
7,30_min_RMSE,6.449461063558674,6.41622454206443
7,45_min_MAPE,0.10558201923954702,0.1049876594393626
9,30_min_RMSE,6.41622454206443,6.394742874896166
9,45_min_RMSE,7.910476113935913,7.826447710891329
10,15_min_MAPE,0.056731953087762,0.054689428924296846
10,15_min_MAE,2.477943361676404,2.3039645170784646
10,15_min_RMSE,4.282490562683035,4.135152476868448
10,30_min_MAPE,0.08313938963940769,0.07886578264458699
10,30_min_MAE,3.546012408148403,3.1826198277219984
10,30_min_RMSE,6.394742874896166,5.949173067145047
10,45_min_MAPE,0.1049876594393626,0.09865648879465491
10,45_min_MAE,4.340708592113446,3.8645004636050833
10,45_min_RMSE,7.826447710891329,7.236290621877623
14,15_min_MAPE,0.054689428924296846,0.0544655586855984
14,45_min_MAPE,0.09865648879465491,0.09861704208801539
16,15_min_MAPE,0.0544655586855984,0.0543209276201838
16,15_min_RMSE,4.135152476868448,4.129841784677252
16,30_min_MAPE,0.07886578264458699,0.07718073786725296
16,30_min_RMSE,5.949173067145047,5.928177221330458
16,45_min_MAPE,0.09861704208801539,0.09444270557244744
16,45_min_RMSE,7.236290621877623,7.178112462930399
17,15_min_MAPE,0.0543209276201838,0.05361351059131767
17,15_min_MAE,2.3039645170784646,2.2766393349351106
17,15_min_RMSE,4.129841784677252,4.105929497521175
17,30_min_MAPE,0.07718073786725296,0.07662310663958936
17,30_min_MAE,3.1826198277219984,3.1132643410721883
17,30_min_RMSE,5.928177221330458,5.854721448953542
17,45_min_MAE,3.8645004636050833,3.726614198487415
17,45_min_RMSE,7.178112462930399,7.047076651602015
18,15_min_MAE,2.2766393349351106,2.2733056902729363
18,15_min_RMSE,4.105929497521175,4.10293146294523
19,15_min_RMSE,4.10293146294523,4.101629522186481
19,30_min_MAPE,0.07662310663958936,0.07631878609368863
19,45_min_MAPE,0.09444270557244744,0.09359541226507138
20,15_min_MAPE,0.05361351059131767,0.053411102045203544
21,15_min_MAPE,0.053411102045203544,0.053308542525777644
21,15_min_RMSE,4.101629522186481,4.098603520540123
21,30_min_MAPE,0.07631878609368863,0.07593935916298314
21,45_min_MAPE,0.09359541226507138,0.09336436646994135
23,15_min_MAPE,0.053308542525777644,0.05276613422762383
23,15_min_MAE,2.2733056902729363,2.248488121302411
23,15_min_RMSE,4.098603520540123,4.062323045310698
23,30_min_MAPE,0.07593935916298314,0.07495157002591125
23,30_min_MAE,3.1132643410721883,3.0958325534130333
23,30_min_RMSE,5.854721448953542,5.791259565788412
23,45_min_MAPE,0.09336436646994135,0.09201775815793438
23,45_min_RMSE,7.047076651602015,7.00096370693036
26,15_min_MAPE,0.05276613422762383,0.052554739617215115
26,30_min_MAPE,0.07495157002591125,0.07442889621851487
26,45_min_MAPE,0.09201775815793438,0.09115046555847982
27,30_min_MAE,3.0958325534130333,3.0823359047689185
27,45_min_MAE,3.726614198487415,3.667023486596622
27,45_min_RMSE,7.00096370693036,6.929730554199773
28,15_min_MAE,2.248488121302411,2.245518533207728
28,15_min_RMSE,4.062323045310698,4.059492484992279
28,30_min_MAPE,0.07442889621851487,0.07414069648936457
28,30_min_MAE,3.0823359047689185,3.060312227667174
28,30_min_RMSE,5.791259565788412,5.766576707372409
28,45_min_MAPE,0.09115046555847982,0.09040065829308752
28,45_min_MAE,3.667023486596622,3.6637569374549943
29,15_min_MAE,2.245518533207728,2.2261428741111464
29,15_min_RMSE,4.059492484992279,4.041753260749919
29,30_min_MAE,3.060312227667174,3.017827117752111
