horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.258838941239974,2.2465964150260214,4.0683697690545255
6,30,7.464499687080953,3.0602408777453194,5.7539239538241835
9,45,8.972818594885359,3.6377170479837653,6.835671875801049
