epoch,learning_rate,train_l2_per_sample,copy_l2_per_sample,val_15_mape_percent,val_15_mae,val_15_rmse,val_30_mape_percent,val_30_mae,val_30_rmse,val_45_mape_percent,val_45_mae,val_45_rmse,epoch_seconds
1,0.001,11.06030586626155,3.493540477501498,7.288746130844161,3.137336728160186,5.223836650531257,10.377485830142692,4.569248484141791,7.857337495308385,12.73872476374488,5.703631296130368,9.766558888967358,2.887488603591919
2,0.001,5.284059102541527,3.4935404695472347,7.893126633317722,3.499953329441403,5.947338057545253,12.178804378104978,5.645762037750188,9.6637886585856,15.968760669964963,7.656412274564676,12.718704489038668,2.602792501449585
3,0.001,4.427997568179056,3.4935404992710613,6.685524346410807,3.0124502225457825,5.017279325400835,10.272671823633937,4.784835184940839,7.917219083985238,12.882280272318761,6.0815889840476896,9.937930872702001,2.6015167236328125
4,0.001,4.171239036546662,3.49354047917608,6.084622475263741,2.513943824258641,4.47062337447344,8.673483181074673,3.5424198299466894,6.570632957348235,10.702249307724843,4.345503299190724,8.062971182182356,2.5849876403808594
5,0.001,3.8657968996699386,3.493540490898152,6.1191729045906875,2.5327589923532012,4.492568074134295,9.069652652266013,3.660397660903951,6.763809083653837,11.231518795615749,4.532180380989788,8.352048427795006,2.596548557281494
6,0.0007,3.3455029367039977,3.493540502620225,5.759751973398133,2.5298227618333087,4.380027038893374,8.466630532623554,3.7348025945007692,6.575546568257787,10.659771460018472,4.726153802584528,8.224352864771111,2.59207820892334
7,0.0007,3.2772835898127233,3.4935404749896257,5.762083678384138,2.3973659726143133,4.247931281755631,8.34851983892696,3.333747784259214,6.170011507043243,10.208374996340128,4.001547384249599,7.421723623234031,2.5880048274993896
8,0.0007,3.231800204102045,3.4935404825252436,5.808957762417291,2.5781252844791256,4.387558873297256,8.546242635266948,3.84149525041323,6.749792395945712,10.829048256625615,4.969106532254435,8.699880907544816,2.5466182231903076
9,0.0007,3.1755434476669886,3.493540495084607,6.072876733708488,2.503456156077139,4.344279340006909,9.584309402389906,3.6282128177472015,6.518008647491494,12.835510665442065,4.5661031806428385,8.203185917771538,2.549522876739502
10,0.0007,3.1391221532913756,3.493540480850662,7.044644761566218,2.918655623250933,4.788802358593506,11.534953710451648,4.452827517940724,7.721818480560473,14.928185462202507,5.562764508051846,9.66350239877119,2.5704777240753174
11,0.00049,2.913940930387448,3.49354047917608,5.525302312610723,2.333060297300504,4.1704704806574115,8.041151825374694,3.228179079801445,6.012433738120815,10.179985527843666,3.9067917633256415,7.272169826764576,2.5825083255767822
12,0.00049,2.9029859240584672,3.493540495084607,5.499998833315945,2.393505255256407,4.205520726706806,7.994677295669832,3.4409883086111384,6.1777662119386045,10.05326956533955,4.3229010938318275,7.634790216406855,2.5669217109680176
13,0.00049,2.875431272206964,3.4935404992710613,5.859199123377574,2.3549061589666795,4.2271506342689635,8.957363387370302,3.326649553808875,6.2702328866750525,11.382303659939023,4.058805677359502,7.659639810536695,2.5617547035217285
14,0.00049,2.8642972484819715,3.4935404975964794,5.705890375833044,2.4594888363998266,4.378104963848102,8.28390621396065,3.535216105686616,6.543557666118987,10.335634625622914,4.367716458568588,8.072125337095361,2.556039571762085
15,0.00049,2.844126958403282,3.4935404749896257,5.6746523253547485,2.3473275295756006,4.18609707785588,8.50620070999597,3.262044274029728,6.11097492287866,10.67775223885072,3.9168206625691444,7.378762719227399,2.5618972778320312
16,0.000343,2.7288331173301477,3.4935404858744072,5.652864225936454,2.322689195239878,4.167081137124973,8.888559034277113,3.320340890377471,6.185027188228355,12.343701205037595,4.266445284371727,7.979427011786502,2.56268048286438
17,0.000343,2.7164988086556425,3.493540480850662,5.51158068472879,2.30717583891296,4.12930718715201,8.023025285951066,3.17647982205543,5.956079062221968,9.84233668412985,3.8089921678102088,7.1747183421616585,2.5551400184631348
18,0.000343,2.7063061234404686,3.4935404816879525,5.670671515453545,2.3879544793763503,4.2170292291691895,8.62332876204945,3.3614858862554007,6.190300755119229,11.463007271430293,4.193235629776693,7.684378246319617,2.548616409301758
19,0.000343,2.694198899775665,3.4935404737336895,5.491110209115171,2.2684334578392984,4.094873271554444,8.062760442237824,3.0951959178971507,5.855082654691046,10.091800794578965,3.7078619769931183,7.034863106764839,2.580556631088257
20,0.000343,2.6847267004353004,3.493540480850662,5.377474987372643,2.2778596129396194,4.105777973985926,7.740123930574244,3.1276306935460445,5.9022580935490785,9.504261691085205,3.756108118433327,7.121606913358404,2.5842783451080322
21,0.00024009999999999998,2.6203771152446103,3.4935404754082713,5.296813778054436,2.236301182589315,4.0665641807877195,7.604825323743637,3.044040302956844,5.794861052334201,9.44569985508825,3.6377395825661987,6.94559704310714,2.578687906265259
22,0.00024009999999999998,2.6124777421289833,3.493540486711698,5.291659956235603,2.2478396910901903,4.075514870494539,7.589482444529446,3.0602653173789767,5.813514394635762,9.4301810592967,3.6684963117441165,7.006218654663749,2.5575239658355713
23,0.00024009999999999998,2.6026859321125357,3.493540494247316,5.34504986583453,2.2850001412806447,4.112996646140094,7.618257113544377,3.125015547263682,5.901314536971467,9.350104250811757,3.755812375212752,7.137963471539324,2.5692291259765625
24,0.00024009999999999998,2.5939445529097105,3.4935404758269164,5.496935278809361,2.297845422225836,4.139406478761894,8.240005421245183,3.215903028801306,6.0150253228831625,10.65085434795019,3.963067730835952,7.3543301017801435,2.5551021099090576
25,0.00024009999999999998,2.5871376426100627,3.493540480850662,5.29867226180371,2.2420863660725976,4.068615448394226,7.56418840958205,3.0651421014786266,5.821690612207606,9.31302252662341,3.68282465908533,7.0343192346170085,2.5613112449645996
26,0.00016806999999999998,2.5512322291038454,3.493540504713452,5.255160245573249,2.2284562391834006,4.041445661501189,7.505654522061005,3.047426128762029,5.769010585207983,9.234984218840138,3.658625419878404,6.932975120233821,2.551499366760254
27,0.00016806999999999998,2.5438739451742465,3.49354047917608,5.3194027940900455,2.2584171843547476,4.087395891689192,7.632940591520962,3.0839228699737333,5.846072270448058,9.367478573687508,3.677847805457703,7.0139940307586475,2.576732635498047
28,0.00016806999999999998,2.539239901843251,3.493540494247316,5.264370427077964,2.2603128477677403,4.06849029056572,7.504736477556451,3.118958238720051,5.829336431967453,9.18027831859444,3.760425980960739,6.995453113061752,2.574877977371216
29,0.00016806999999999998,2.532127283245351,3.4935404975964794,5.252602965022045,2.241085354349756,4.060807445785629,7.446122680168621,3.0509478045371416,5.784777775443232,9.0918421339508,3.6402466171915915,6.9241701073193545,2.5707743167877197
30,0.00016806999999999998,2.526945924214672,3.493540487967634,5.465124953820088,2.34675234794367,4.195186340583946,7.89257412651004,3.334247588512004,6.195865568934877,9.70424395888599,4.088986163702458,7.60855730743997,2.555851459503174
31,0.00011764899999999998,2.502943304989608,3.4935404783387893,5.2413645362504395,2.229738418567115,4.0570335503497414,7.424118329667707,3.016892236238626,5.764231604095693,9.051885812124617,3.5886040155411267,6.8884196530310255,2.5714688301086426
32,0.00011764899999999998,2.4993465827995482,3.4935404770828526,5.264485027815666,2.2225133040339013,4.048481143917409,7.498892564116801,3.0088405692037345,5.7350885032196075,9.173642328566487,3.57484184239166,6.820935766403007,2.550917387008667
33,0.00011764899999999998,2.4942832187773156,3.4935404839905027,5.249819674395741,2.2276662214728167,4.049608076531594,7.457194911400415,3.0244353696668793,5.7581081915810515,9.07801849612955,3.589620513796151,6.853347713629226,2.5611274242401123
34,0.00011764899999999998,2.490310824681417,3.4935405059693885,5.2618857196689,2.222381804357121,4.033586062281507,7.446432700485545,2.9952364194140317,5.698043272314313,9.081369466449491,3.547234540061821,6.7852627745717315,2.5545308589935303
35,0.00011764899999999998,2.485702458549948,3.4935404967591888,5.3015390532464375,2.237312752003756,4.055673779509688,7.530411842388145,3.020189700909515,5.7427690219917675,9.148870559536558,3.5737559568011097,6.83529163498677,2.5574443340301514
36,8.235429999999999e-05,2.4718995215706494,3.493540492572734,5.268602773262337,2.2368088052234714,4.062055347528597,7.465137582575659,3.03139911181142,5.76452583274586,9.071253037134307,3.594501127176617,6.848005126398559,2.5686123371124268
37,8.235429999999999e-05,2.468247987179509,3.493540491316798,5.282619438361173,2.2410408701251145,4.076474804865088,7.519987914911207,3.055309911559595,5.817229008729353,9.169263582511796,3.6415324788219676,6.950072666962472,2.582467794418335
38,8.235429999999999e-05,2.465530396135781,3.4935404967591888,5.246643516898124,2.2249327094993783,4.032008262172514,7.43076103212447,3.0171545419745436,5.705719256113106,9.051980904866088,3.5897307574483666,6.789430684785661,2.5680320262908936
39,8.235429999999999e-05,2.4613054007998256,3.4935404827345664,5.241810703002898,2.219539937800717,4.0440227005979485,7.423794554864964,3.0026892131396883,5.725547445381757,9.02855513763228,3.564531666809865,6.820636039112895,2.5619447231292725
40,8.235429999999999e-05,2.458180267210065,3.4935404816879525,5.272960078500896,2.2343977998831908,4.045347917507841,7.472388873583485,3.0303395453345936,5.729269841545208,9.094968277860543,3.600550189021995,6.817328230241332,2.5745599269866943
41,5.764800999999999e-05,2.4492519416758847,3.493540477501498,5.221278621876356,2.2204893852847194,4.044059280134542,7.381005178542935,3.012328072323416,5.7453032016882,8.962521059845843,3.5855153745305137,6.865739570678663,2.5800435543060303
42,5.764800999999999e-05,2.447100421019664,3.493540489642216,5.236216398020882,2.2372011243126475,4.077280141771693,7.439199898623147,3.0751835785351616,5.876653277845791,9.086663415214097,3.7124435836340504,7.1414719569252085,2.565863847732544
43,5.764800999999999e-05,2.4446910141433302,3.493540485037116,5.2246401502874456,2.2168817360821307,4.037342791797287,7.385745761468791,2.9934831074377293,5.7084532764799505,8.97953869504247,3.5465274624001704,6.790815804800409,2.5540733337402344
44,5.764800999999999e-05,2.4421485046004916,3.493540492572734,5.243436614079262,2.234484102539318,4.038792830332911,7.430424276962739,3.0477653685212918,5.731340688158973,9.046346245401347,3.6382762476423394,6.857222823032038,2.5532212257385254
45,5.764800999999999e-05,2.4397740493854796,3.49354051455162,5.301982228373257,2.217873954523231,4.04065389083503,7.5816242580608595,2.9923505321102137,5.695184492925523,9.338169817089192,3.5444872324489802,6.745247463484466,2.5785961151123047
46,4.035360699999999e-05,2.434162214202144,3.4935405034575155,5.246015899810032,2.2081031321854954,4.029205276337815,7.448757338442706,2.977232253361073,5.693636292039795,9.091432226300396,3.529826814861752,6.782010368644991,2.571992874145508
47,4.035360699999999e-05,2.432132554954348,3.493540492572734,5.232981611652879,2.2143046428783304,4.035021621873418,7.415015976539487,2.9926258503688383,5.7076820876515875,9.026436597210289,3.550693192523198,6.79157699822292,2.563547372817993
