horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.2317500457803625,2.227263814562058,4.04859167967504
6,30,7.326653134170456,2.999823258553041,5.676036678538367
9,45,8.824020969084215,3.554606778248969,6.747063419206045
