epoch,learning_rate,train_l2_per_sample,copy_l2_per_sample,val_15_mape_percent,val_15_mae,val_15_rmse,val_30_mape_percent,val_30_mae,val_30_rmse,val_45_mape_percent,val_45_mae,val_45_rmse,epoch_seconds
1,0.001,11.420752827591599,3.493540477501498,7.433017192320163,2.884586847449635,4.983766550800546,10.49233893319305,4.047831111966892,7.237729009012402,12.7924951342083,4.878433253909319,8.69589085944978,2.7874584197998047
2,0.001,5.094636423112637,3.4935404695472347,7.680157738600954,3.470822139559194,5.531298205322273,11.772664927412434,5.5365389400141565,8.811112795174276,15.18688255843457,7.333553277250671,11.510818662863134,2.5633151531219482
3,0.001,4.359474873731176,3.4935404992710613,7.59856476525294,3.051945018943113,5.1409686735720905,12.557832538597744,4.728963516606933,8.155499832759142,17.163968641865967,6.275365450195568,10.506559737631344,2.578918933868408
4,0.001,4.049131015814429,3.49354047917608,5.838234924652028,2.4764253682758084,4.391054845220428,8.365504626173973,3.5301995879975125,6.465440631131134,10.50180573524621,4.4354359345337455,8.023919545707702,2.556042432785034
5,0.001,3.8729025101431427,3.493540490898152,6.393060606791417,2.7386153371710527,4.566652374047187,9.56529119371213,3.8433810273775038,6.768620407250575,12.075551141148058,4.685797056810929,8.311782986123882,2.5594983100891113
6,0.0007,3.3190535502647287,3.493540502620225,5.662952931522231,2.4637987654756643,4.352987806908338,8.320139005690477,3.583217182743765,6.492360789512794,10.427927085634737,4.463534717704651,8.051563806456278,2.555924415588379
7,0.0007,3.269731552586208,3.4935404749896257,6.1882416844274335,2.6278416779691183,4.560084741478569,9.476218511996452,4.059963520186894,7.3309172083146805,12.14511139163736,5.293843782219659,9.524182785117612,2.5514276027679443
8,0.0007,3.2257760004373472,3.4935404825252436,5.64580809979515,2.4485183847671594,4.25099693709469,8.140289564349946,3.512500031963947,6.312383072394778,10.195817760098945,4.441299228313613,7.981991961763438,2.5552637577056885
9,0.0007,3.1763783815767392,3.493540495084607,5.583891747477917,2.411989305630564,4.244020730493398,8.081991420924647,3.41706144058695,6.188061205145486,10.148685302494645,4.22453652277265,7.603596177266018,2.554579257965088
10,0.0007,3.1532418131305002,3.493540480850662,6.137032849715624,2.524259951527314,4.425604295046473,9.65333016139108,3.6926611865119305,6.789084875226069,12.305223904969525,4.590039139213472,8.361128984000064,2.5491409301757812
11,0.00049,2.9370965982760326,3.49354047917608,5.5454581531126115,2.3425242050182886,4.177241030808718,8.059238095219829,3.231730335012847,6.008964264294168,10.092597426029675,3.8983894773664574,7.269423009796495,2.5776805877685547
12,0.00049,2.922353332978367,3.493540495084607,5.432051473589086,2.3239583493153066,4.1718429323046005,7.855548818687645,3.2562002353313613,6.02362984111851,9.935556558078108,4.023698082879189,7.366165653844691,2.568514108657837
13,0.00049,2.8986791270777674,3.4935404992710613,5.555766685747544,2.392922108208955,4.306941861787012,8.17000301447986,3.398758063225198,6.374372545176443,10.477005937830507,4.223543287878044,7.927287898877537,2.5590622425079346
14,0.00049,2.89028239396709,3.4935404975964794,5.721456598130531,2.4508622881941036,4.369723787182192,8.375213470219254,3.5302511522363513,6.526701344532627,10.552534166822012,4.388814127348455,8.083203254181734,2.5618910789489746
15,0.00049,2.8699090156354226,3.4935404749896257,5.398306011310826,2.31946360469957,4.119261482653038,7.700888295859122,3.22129168993642,5.915840064842487,9.527115543402436,3.936870553175733,7.178341068730731,2.5602822303771973
16,0.000343,2.7636124683745185,3.4935404858744072,5.504072143882318,2.285692122370262,4.135966607081347,8.40939801723803,3.2265313990798474,6.045050653132924,11.59150694202584,4.125425900411593,7.754982525426248,2.559314727783203
17,0.000343,2.7482754382467562,3.493540480850662,5.402045977867907,2.2947361868443554,4.124335209472086,7.747583062151209,3.160032070067017,5.935735433450165,9.4983133004891,3.7961164955444815,7.173280992828422,2.5583653450012207
18,0.000343,2.7396561419157943,3.4935404816879525,5.561706236314636,2.317117099407363,4.180151836866101,8.427425198731044,3.2504155760568048,6.1221847973190275,10.935010098449595,3.983379917589274,7.520593853719254,2.557619333267212
19,0.000343,2.7257906166056567,3.4935404737336895,5.580809628910406,2.3129846277708905,4.133241054245049,8.207459421050459,3.1976238065940854,5.952753768779184,10.14795109063863,3.844071992013616,7.1680153564669915,2.5790047645568848
20,0.000343,2.717733342151458,3.493540480850662,5.3642575707726525,2.280627987989739,4.108961747762224,7.643748031420432,3.1175591895579666,5.886948895894805,9.29850917675321,3.7148018516586476,7.075486759782914,2.5838890075683594
21,0.00024009999999999998,2.657017645027891,3.4935404754082713,5.269447325661282,2.237912481946763,4.065039412051919,7.472297466684617,3.0414387637265974,5.763949264396148,9.138415272431274,3.628894704622447,6.91337785785685,2.5857462882995605
22,0.00024009999999999998,2.6468264679829208,3.493540486711698,5.267775461417151,2.2330126486451376,4.076831120695871,7.489830970015005,3.0408672963052745,5.818684406507937,9.194432818224744,3.6400052318587983,7.014536303632624,2.565534830093384
23,0.00024009999999999998,2.6406398694488016,3.493540494247316,5.3569139588968575,2.2894141929129024,4.112364808276376,7.647140190282334,3.1419663606310553,5.903425832818112,9.372985522202029,3.7667149194406258,7.143010912991524,2.5667598247528076
24,0.00024009999999999998,2.6296740641606493,3.4935404758269164,5.3720703384707065,2.268521556869231,4.107639606235805,7.749198669849125,3.111099633923311,5.868634464942485,9.599776516475114,3.7209905703800077,7.047881375327413,2.5592315196990967
25,0.00024009999999999998,2.6223645643564146,3.493540480850662,5.372042749589199,2.273242002109109,4.101773007275835,7.689949279369625,3.1315091189304303,5.87541394001793,9.42162831624349,3.7672635869787574,7.099146458014278,2.568847894668579
26,0.00016806999999999998,2.5884059314878494,3.493540504713452,5.266829083870456,2.2160256393045055,4.0493076604560905,7.413265750682238,2.990910808825936,5.719349691845131,8.996856231969137,3.558662018597391,6.832028171577002,2.558196783065796
27,0.00016806999999999998,2.5818193927995985,3.49354047917608,5.339681640848748,2.257464000285374,4.095001577343581,7.624938916897831,3.0873229740739148,5.853272536810415,9.294451933064426,3.6641123158109536,7.009672285635734,2.561286211013794
28,0.00016806999999999998,2.577324479792179,3.493540494247316,5.273242604829279,2.2584102130179695,4.071963845830569,7.426155701642512,3.1091248054034923,5.806491231250558,9.039153813004773,3.7643214015755926,6.992235821377689,2.5844693183898926
