horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.219508593355245,2.259313558901627,4.116267076509269
6,30,7.329288456695308,3.0933088400002453,5.848184000729831
9,45,8.794458009210922,3.6949081528776757,7.001274563235401
