epoch,metric,previous_best,new_best
1,15_min_MAPE,40.0,0.0728874613084416
1,15_min_MAE,100000.0,3.137336728160186
1,15_min_RMSE,100000.0,5.223836650531257
1,30_min_MAPE,40.0,0.10377485830142692
1,30_min_MAE,100000.0,4.569248484141791
1,30_min_RMSE,100000.0,7.857337495308385
1,45_min_MAPE,40.0,0.1273872476374488
1,45_min_MAE,100000.0,5.703631296130368
1,45_min_RMSE,100000.0,9.766558888967358
3,15_min_MAPE,0.0728874613084416,0.06685524346410807
3,15_min_MAE,3.137336728160186,3.0124502225457825
3,15_min_RMSE,5.223836650531257,5.017279325400835
3,30_min_MAPE,0.10377485830142692,0.10272671823633936
4,15_min_MAPE,0.06685524346410807,0.06084622475263741
4,15_min_MAE,3.0124502225457825,2.513943824258641
4,15_min_RMSE,5.017279325400835,4.47062337447344
4,30_min_MAPE,0.10272671823633936,0.08673483181074673
4,30_min_MAE,4.569248484141791,3.5424198299466894
4,30_min_RMSE,7.857337495308385,6.570632957348235
4,45_min_MAPE,0.1273872476374488,0.10702249307724845
4,45_min_MAE,5.703631296130368,4.345503299190724
4,45_min_RMSE,9.766558888967358,8.062971182182356
6,15_min_MAPE,0.06084622475263741,0.057597519733981334
6,15_min_RMSE,4.47062337447344,4.380027038893374
6,30_min_MAPE,0.08673483181074673,0.08466630532623555
6,45_min_MAPE,0.10702249307724845,0.10659771460018473
7,15_min_MAE,2.513943824258641,2.3973659726143133
7,15_min_RMSE,4.380027038893374,4.247931281755631
7,30_min_MAPE,0.08466630532623555,0.0834851983892696
7,30_min_MAE,3.5424198299466894,3.333747784259214
7,30_min_RMSE,6.570632957348235,6.170011507043243
7,45_min_MAPE,0.10659771460018473,0.10208374996340128
7,45_min_MAE,4.345503299190724,4.001547384249599
7,45_min_RMSE,8.062971182182356,7.421723623234031
11,15_min_MAPE,0.057597519733981334,0.055253023126107234
11,15_min_MAE,2.3973659726143133,2.333060297300504
11,15_min_RMSE,4.247931281755631,4.170470480657412
11,30_min_MAPE,0.0834851983892696,0.08041151825374694
11,30_min_MAE,3.333747784259214,3.228179079801445
11,30_min_RMSE,6.170011507043243,6.012433738120815
11,45_min_MAPE,0.10208374996340128,0.10179985527843666
11,45_min_MAE,4.001547384249599,3.9067917633256415
11,45_min_RMSE,7.421723623234031,7.272169826764576
12,15_min_MAPE,0.055253023126107234,0.05499998833315945
12,30_min_MAPE,0.08041151825374694,0.07994677295669832
12,45_min_MAPE,0.10179985527843666,0.1005326956533955
16,15_min_MAE,2.333060297300504,2.322689195239878
16,15_min_RMSE,4.170470480657412,4.167081137124973
17,15_min_MAE,2.322689195239878,2.30717583891296
17,15_min_RMSE,4.167081137124973,4.12930718715201
17,30_min_MAE,3.228179079801445,3.17647982205543
17,30_min_RMSE,6.012433738120815,5.956079062221968
17,45_min_MAPE,0.1005326956533955,0.09842336684129849
17,45_min_MAE,3.9067917633256415,3.8089921678102088
17,45_min_RMSE,7.272169826764576,7.1747183421616585
19,15_min_MAPE,0.05499998833315945,0.054911102091151714
19,15_min_MAE,2.30717583891296,2.2684334578392984
19,15_min_RMSE,4.12930718715201,4.094873271554444
19,30_min_MAE,3.17647982205543,3.0951959178971507
19,30_min_RMSE,5.956079062221968,5.855082654691046
19,45_min_MAE,3.8089921678102088,3.7078619769931183
19,45_min_RMSE,7.1747183421616585,7.034863106764839
20,15_min_MAPE,0.054911102091151714,0.05377474987372643
20,30_min_MAPE,0.07994677295669832,0.07740123930574244
20,45_min_MAPE,0.09842336684129849,0.09504261691085204
21,15_min_MAPE,0.05377474987372643,0.052968137780544364
21,15_min_MAE,2.2684334578392984,2.236301182589315
21,15_min_RMSE,4.094873271554444,4.06656418078772
21,30_min_MAPE,0.07740123930574244,0.07604825323743637
21,30_min_MAE,3.0951959178971507,3.044040302956844
21,30_min_RMSE,5.855082654691046,5.794861052334201
21,45_min_MAPE,0.09504261691085204,0.0944569985508825
21,45_min_MAE,3.7078619769931183,3.637739582566199
21,45_min_RMSE,7.034863106764839,6.94559704310714
22,15_min_MAPE,0.052968137780544364,0.05291659956235603
22,30_min_MAPE,0.07604825323743637,0.07589482444529447
22,45_min_MAPE,0.0944569985508825,0.09430181059296701
23,45_min_MAPE,0.09430181059296701,0.09350104250811755
25,30_min_MAPE,0.07589482444529447,0.0756418840958205
25,45_min_MAPE,0.09350104250811755,0.0931302252662341
26,15_min_MAPE,0.05291659956235603,0.05255160245573249
26,15_min_MAE,2.236301182589315,2.2284562391834006
26,15_min_RMSE,4.06656418078772,4.041445661501189
26,30_min_MAPE,0.0756418840958205,0.07505654522061005
26,30_min_RMSE,5.794861052334201,5.769010585207983
26,45_min_MAPE,0.0931302252662341,0.09234984218840138
26,45_min_RMSE,6.94559704310714,6.932975120233821
28,30_min_MAPE,0.07505654522061005,0.0750473647755645
28,45_min_MAPE,0.09234984218840138,0.0918027831859444
29,15_min_MAPE,0.05255160245573249,0.05252602965022045
29,30_min_MAPE,0.0750473647755645,0.07446122680168621
29,45_min_MAPE,0.0918027831859444,0.090918421339508
29,45_min_RMSE,6.932975120233821,6.9241701073193545
31,15_min_MAPE,0.05252602965022045,0.0524136453625044
31,30_min_MAPE,0.07446122680168621,0.07424118329667707
31,30_min_MAE,3.044040302956844,3.016892236238626
31,30_min_RMSE,5.769010585207983,5.764231604095693
31,45_min_MAPE,0.090918421339508,0.09051885812124617
31,45_min_MAE,3.637739582566199,3.5886040155411267
31,45_min_RMSE,6.9241701073193545,6.8884196530310255
32,15_min_MAE,2.2284562391834006,2.2225133040339013
32,30_min_MAE,3.016892236238626,3.0088405692037345
32,30_min_RMSE,5.764231604095693,5.735088503219608
32,45_min_MAE,3.5886040155411267,3.57484184239166
32,45_min_RMSE,6.8884196530310255,6.820935766403007
34,15_min_MAE,2.2225133040339013,2.222381804357121
34,15_min_RMSE,4.041445661501189,4.033586062281507
34,30_min_MAE,3.0088405692037345,2.995236419414032
34,30_min_RMSE,5.735088503219608,5.698043272314313
34,45_min_MAE,3.57484184239166,3.547234540061821
34,45_min_RMSE,6.820935766403007,6.785262774571732
38,15_min_RMSE,4.033586062281507,4.032008262172514
39,15_min_MAE,2.222381804357121,2.219539937800717
39,30_min_MAPE,0.07424118329667707,0.07423794554864964
39,45_min_MAPE,0.09051885812124617,0.0902855513763228
41,15_min_MAPE,0.0524136453625044,0.05221278621876356
