horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.210203179266791,2.227327390852072,4.0490380759293325
6,30,7.298545128202276,3.0030051032358767,5.676908488485756
9,45,8.773869941233963,3.560621060123928,6.748387057124547
