epoch,learning_rate,train_l2_per_sample,copy_l2_per_sample,val_15_mape_percent,val_15_mae,val_15_rmse,val_30_mape_percent,val_30_mae,val_30_rmse,val_45_mape_percent,val_45_mae,val_45_rmse,epoch_seconds
1,0.001,11.10457503659564,3.493540477501498,7.93332192060616,3.5886525911509475,5.68423511429185,11.483258079814487,5.330577171707254,8.452283258820056,13.961079925353317,6.467389307573972,10.172169616317312,2.940188407897949
2,0.001,5.1956306177864375,3.4935404695472347,8.293477373305464,3.688098368278877,6.313400042600409,13.048330533251645,6.100888840644639,10.481381109655203,17.103477621865103,8.283687244544138,13.80587298398741,2.611928701400757
3,0.001,4.437679229230604,3.4935404992710613,7.105859155647416,2.8794227170582123,5.017988732153573,11.575200214970327,4.379781160756661,7.858397953090683,15.646203054311734,5.593058926686469,10.031258339539596,2.7060179710388184
4,0.001,4.1690102875285024,3.49354047917608,6.038710441099907,2.598428409453555,4.446019973269366,8.72684262004252,3.7240617622721097,6.566199198367404,11.011034188141963,4.675075850445552,8.15833864335613,2.5773544311523438
5,0.001,3.8703137344179495,3.493540490898152,6.763862895541055,2.8794325555610105,4.680414543800739,10.120780707092365,4.072305944322385,6.92417112290211,12.614370517376114,4.913004250437778,8.388289726073467,2.623250722885132
6,0.0007,3.335422405346744,3.493540502620225,6.141648303778829,2.6187698176469625,4.426136301637721,9.38045434784471,3.7671224341900693,6.550457554698999,12.288445899485916,4.683615792337654,8.11339313142627,2.5553691387176514
7,0.0007,3.2753064839645267,3.4935404749896257,6.161417835012847,2.496179355842089,4.4026608489754695,10.091612322163789,3.7188434817585594,6.758723883042095,14.099386824023258,4.8088220109362725,8.834104515644157,2.6258492469787598
8,0.0007,3.211439722143212,3.4935404825252436,5.618045943730412,2.429563025998707,4.267011874014107,8.08489498089483,3.4763409962420626,6.354656985506888,10.073671273518432,4.378744410144999,8.020750795854529,2.550184488296509
9,0.0007,3.1784212972324495,3.493540495084607,5.782134152732303,2.3936476322642544,4.273647865695304,8.894570733465178,3.428327152784597,6.329581202930855,11.721764250118778,4.283075633602137,7.884078384238418,2.553187131881714
10,0.0007,3.123740391316803,3.493540480850662,6.444465330552918,2.7986137172382333,4.775177876619355,10.892476883194277,4.657166099498396,7.785440403780925,15.513978055647826,6.3995144484710496,10.416864551995747,2.5670220851898193
