horizon_steps,minutes,MAPE_percent,MAE,RMSE,configuration,paper_MAPE_percent,paper_MAE,paper_RMSE,MAPE_difference_pp,MAE_difference,RMSE_difference,MAPE_abs_difference_pp,MAE_abs_difference,RMSE_abs_difference
3,15,5.219508593355245,2.259313558901627,4.116267076509269,current graph + current GSO,5.26,2.25,4.04,-0.04049140664475459,0.009313558901626884,0.07626707650926878,0.04049140664475459,0.009313558901626884,0.07626707650926878
3,15,5.210203179266791,2.227327390852072,4.0490380759293325,official graph + current GSO,5.26,2.25,4.04,-0.049796820733209124,-0.022672609147928124,0.009038075929332479,0.049796820733209124,0.022672609147928124,0.009038075929332479
3,15,5.2317500457803625,2.227263814562058,4.04859167967504,official graph + original GSO,5.26,2.25,4.04,-0.028249954219637274,-0.02273618543794198,0.00859167967503982,0.028249954219637274,0.02273618543794198,0.00859167967503982
6,30,7.329288456695308,3.0933088400002453,5.848184000729831,current graph + current GSO,7.33,3.03,5.7,-0.0007115433046918085,0.0633088400002455,0.14818400072983096,0.0007115433046918085,0.0633088400002455,0.14818400072983096
6,30,7.298545128202276,3.0030051032358767,5.676908488485756,official graph + current GSO,7.33,3.03,5.7,-0.03145487179772388,-0.026994896764123144,-0.023091511514244267,0.03145487179772388,0.026994896764123144,0.023091511514244267
6,30,7.326653134170456,2.999823258553041,5.676036678538367,official graph + original GSO,7.33,3.03,5.7,-0.003346865829543688,-0.03017674144695892,-0.02396332146163349,0.003346865829543688,0.03017674144695892,0.02396332146163349
9,45,8.794458009210922,3.694908152877676,7.001274563235401,current graph + current GSO,8.69,3.57,6.77,0.10445800921092285,0.12490815287767632,0.2312745632354014,0.10445800921092285,0.12490815287767632,0.2312745632354014
9,45,8.773869941233963,3.560621060123928,6.748387057124547,official graph + current GSO,8.69,3.57,6.77,0.08386994123396363,-0.009378939876071968,-0.021612942875452568,0.08386994123396363,0.009378939876071968,0.021612942875452568
9,45,8.824020969084215,3.554606778248969,6.747063419206045,official graph + original GSO,8.69,3.57,6.77,0.13402096908421512,-0.015393221751030861,-0.022936580793954775,0.13402096908421512,0.015393221751030861,0.022936580793954775
