horizon_steps,minutes,MAPE_percent,MAE,RMSE,configuration
3,15,5.219508593355245,2.259313558901627,4.116267076509269,current graph + current GSO
3,15,5.210203179266791,2.227327390852072,4.0490380759293325,official graph + current GSO
3,15,5.2317500457803625,2.227263814562058,4.04859167967504,official graph + original GSO
6,30,7.329288456695308,3.0933088400002453,5.848184000729831,current graph + current GSO
6,30,7.298545128202276,3.0030051032358767,5.676908488485756,official graph + current GSO
6,30,7.326653134170456,2.999823258553041,5.676036678538367,official graph + original GSO
9,45,8.794458009210922,3.694908152877676,7.001274563235401,current graph + current GSO
9,45,8.773869941233963,3.560621060123928,6.748387057124547,official graph + current GSO
9,45,8.824020969084215,3.554606778248969,6.747063419206045,official graph + original GSO
