minutes,metric,A_current_graph_current_GSO,B_official_graph_current_GSO,C_official_graph_original_GSO,B_minus_A_graph_effect,C_minus_B_gso_effect,C_minus_A_total_effect
15,MAPE_percent,5.219508593355245,5.210203179266791,5.2317500457803625,-0.009305414088454533,0.02154686651357185,0.012241452425117316
15,MAE,2.259313558901627,2.227327390852072,2.227263814562058,-0.03198616804955501,-6.35762900138559e-05,-0.032049744339568864
15,RMSE,4.116267076509269,4.0490380759293325,4.04859167967504,-0.0672290005799363,-0.00044639625429265806,-0.06767539683422896
30,MAPE_percent,7.329288456695308,7.298545128202276,7.326653134170456,-0.030743328493032074,0.028108005968180194,-0.0026353225248518797
30,MAE,3.0933088400002453,3.0030051032358767,2.999823258553041,-0.09030373676436865,-0.003181844682835777,-0.09348558144720442
30,RMSE,5.848184000729831,5.676908488485756,5.676036678538367,-0.17127551224407522,-0.0008718099473892238,-0.17214732219146445
45,MAPE_percent,8.794458009210922,8.773869941233963,8.824020969084215,-0.020588067976959223,0.050151027850251495,0.02956295987329227
45,MAE,3.694908152877676,3.560621060123928,3.554606778248969,-0.13428709275374828,-0.006014281874958893,-0.14030137462870718
45,RMSE,7.001274563235401,6.748387057124547,6.747063419206045,-0.252887506110854,-0.0013236379185022074,-0.2542111440293562
