horizon_steps,minutes,paper_MAPE_percent,reproduction_MAPE_percent,MAPE_difference_pp,MAPE_relative_difference_percent,paper_MAE,reproduction_MAE,MAE_difference,MAE_relative_difference_percent,paper_RMSE,reproduction_RMSE,RMSE_difference,RMSE_relative_difference_percent
3,15,5.26,5.219508593355245,-0.04049140664475459,-0.7697986054135855,2.25,2.259313558901627,0.009313558901626884,0.4139359511834171,4.04,4.116267076509269,0.07626707650926878,1.8877989234967518
6,30,7.33,7.329288456695308,-0.0007115433046918085,-0.009707275643817305,3.03,3.0933088400002453,0.0633088400002455,2.089400660074109,5.7,5.848184000729831,0.14818400072983096,2.599719311049666
9,45,8.69,8.794458009210922,0.10445800921092285,1.2020484374099294,3.57,3.694908152877676,0.12490815287767632,3.4988278116996168,6.77,7.001274563235401,0.2312745632354014,3.4161678469040093
