epoch,learning_rate,train_l2_per_sample,copy_l2_per_sample,val_15_mape_percent,val_15_mae,val_15_rmse,val_30_mape_percent,val_30_mae,val_30_rmse,val_45_mape_percent,val_45_mae,val_45_rmse,epoch_seconds
1,0.001,10.896001532372935,3.4935405017829337,7.227924293983541,3.0163059343496332,4.9741383120390585,10.28502728746149,4.272114537816673,7.307966395916172,12.557291369002414,5.171795122097162,8.913595533603715,2.916257619857788
2,0.001,5.081826682254031,3.493540495503252,6.532707024569535,2.7001655412800307,4.764395037966278,9.517359907135784,3.791001727075969,6.994697106895922,11.933465534618744,4.599163254195716,8.529482290506609,2.6801555156707764
3,0.001,4.455182349294607,3.4935404737336895,6.36400164843667,2.6126595352544433,4.573739039893901,9.090321099580224,3.6461546604968578,6.668272641734695,11.102516951439862,4.394759689934374,8.05611411090668,2.570385694503784
4,0.001,4.077095581419746,3.4935404959218976,6.0270733270198145,2.531830062526594,4.4751917250023405,8.99115151652306,3.6181874920729413,6.652261181406644,11.68489723375375,4.493318870286724,8.293137190838834,2.5989768505096436
5,0.001,3.889926576321328,3.4935404967591888,6.184039239516337,2.700352702973619,4.715245351078704,9.014294927236952,3.9619924380973424,7.079795141214149,11.165051826103472,4.896487175041732,8.693368546290968,2.6379783153533936
6,0.0007,3.3266794470133125,3.4935404816879525,5.727017101238897,2.4619779424475077,4.393356422545493,8.262480575709356,3.5277099609375,6.504272734962575,10.31063580269525,4.3770847781037245,8.047669535581777,2.6160428524017334
7,0.0007,3.266532085358416,3.4935404749896257,5.716342012056289,2.4168493917644507,4.248200491062097,8.272763422316485,3.359807203701885,6.174852763454529,10.445370420669192,4.128763920938073,7.585420882668806,2.657212972640991
8,0.0007,3.230032900951744,3.4935404883862797,5.940176371224546,2.4754767294796576,4.346777000072678,9.202438088791881,3.5817109712539277,6.497953867338909,12.714882216612121,4.597723112183736,8.39588329275409,2.6507833003997803
9,0.0007,3.166440713395143,3.493540472477753,5.850265449989401,2.371726559431461,4.264618514403763,8.817992868395994,3.346684315879484,6.278011680641612,11.24005578643647,4.08006985273059,7.698287059326717,2.6096620559692383
10,0.0007,3.146169261413253,3.4935404754082713,5.7600067160647095,2.4054668865019067,4.237213148586432,8.400722472697037,3.362038331932034,6.175917430357773,10.419003141272846,4.069999681639091,7.516013148450078,2.578397035598755
11,0.00049,2.9130820583313364,3.4935404946659614,5.428473189664343,2.312392946349666,4.1597596034719375,7.760406318338918,3.1908371383215504,6.011153004241091,9.595068926335506,3.8459939297908075,7.308884741681891,2.63938570022583
12,0.00049,2.892156193191488,3.4935404804320163,5.442675640209085,2.342527478126432,4.209165837239694,7.79074263091985,3.265528305864796,6.118760064214184,9.64466754227104,3.960027352188482,7.463400818617704,2.7627649307250977
13,0.00049,2.872313262916009,3.4935404783387893,5.612316501174931,2.4237878152667993,4.213300909333034,8.191920887521812,3.562430574307738,6.3163068521524695,10.439549676096542,4.643446380862955,8.103657013925083,2.687549591064453
14,0.00049,2.858337856155409,3.4935404812693074,5.577413964003098,2.459412966775907,4.242984394208428,8.376850004313535,3.7450076150906653,6.510725139654607,11.049543042618682,5.085913111508657,8.642361727969456,2.750981569290161
15,0.00049,2.844682681759373,3.4935404833625343,5.49884437547051,2.308987197416495,4.143189245124184,7.906417102519053,3.1719850326901677,5.961054719713965,9.744107010914538,3.816545996375033,7.24408725854948,2.8379881381988525
