horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.293706447923954,2.268909461737366,4.083232744032897
6,30,7.548828060073233,3.1110203089967516,5.796351564689956
9,45,9.14285735204976,3.707785937960281,6.922345198708797
