horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.278630922152192,2.262451839921486,4.081413159049313
6,30,7.488201657774936,3.079461530878707,5.7703411733598315
9,45,9.025176368667431,3.664084222698187,6.866807647202708
