horizon_steps,minutes,MAPE_percent,MAE,RMSE
3,15,5.221519944679677,2.2536716250419366,4.074758650073223
6,30,7.384232718084895,3.0953694725386227,5.799053122170272
9,45,8.891609543497946,3.7103313676784664,6.983877093626898
