epoch,metric,previous_best,new_best
1,15_min_MAPE,40.0,0.07227924293983541
1,15_min_MAE,100000.0,3.016305934349633
1,15_min_RMSE,100000.0,4.9741383120390585
1,30_min_MAPE,40.0,0.1028502728746149
1,30_min_MAE,100000.0,4.272114537816673
1,30_min_RMSE,100000.0,7.307966395916172
1,45_min_MAPE,40.0,0.12557291369002413
1,45_min_MAE,100000.0,5.171795122097162
1,45_min_RMSE,100000.0,8.913595533603715
2,15_min_MAPE,0.07227924293983541,0.06532707024569535
2,15_min_MAE,3.016305934349633,2.7001655412800307
2,15_min_RMSE,4.9741383120390585,4.764395037966278
2,30_min_MAPE,0.1028502728746149,0.09517359907135785
2,30_min_MAE,4.272114537816673,3.791001727075969
2,30_min_RMSE,7.307966395916172,6.994697106895922
2,45_min_MAPE,0.12557291369002413,0.11933465534618744
2,45_min_MAE,5.171795122097162,4.599163254195716
2,45_min_RMSE,8.913595533603715,8.529482290506609
3,15_min_MAPE,0.06532707024569535,0.0636400164843667
3,15_min_MAE,2.7001655412800307,2.6126595352544437
3,15_min_RMSE,4.764395037966278,4.573739039893901
3,30_min_MAPE,0.09517359907135785,0.09090321099580224
3,30_min_MAE,3.791001727075969,3.6461546604968578
3,30_min_RMSE,6.994697106895922,6.668272641734695
3,45_min_MAPE,0.11933465534618744,0.11102516951439861
3,45_min_MAE,4.599163254195716,4.394759689934374
3,45_min_RMSE,8.529482290506609,8.05611411090668
4,15_min_MAPE,0.0636400164843667,0.060270733270198155
4,15_min_MAE,2.6126595352544437,2.531830062526594
4,15_min_RMSE,4.573739039893901,4.4751917250023405
4,30_min_MAPE,0.09090321099580224,0.08991151516523059
4,30_min_MAE,3.6461546604968578,3.618187492072941
4,30_min_RMSE,6.668272641734695,6.652261181406644
6,15_min_MAPE,0.060270733270198155,0.05727017101238897
6,15_min_MAE,2.531830062526594,2.461977942447508
6,15_min_RMSE,4.4751917250023405,4.393356422545493
6,30_min_MAPE,0.08991151516523059,0.08262480575709356
6,30_min_MAE,3.618187492072941,3.5277099609375
6,30_min_RMSE,6.652261181406644,6.504272734962575
6,45_min_MAPE,0.11102516951439861,0.1031063580269525
6,45_min_MAE,4.394759689934374,4.3770847781037245
6,45_min_RMSE,8.05611411090668,8.047669535581777
7,15_min_MAPE,0.05727017101238897,0.05716342012056289
7,15_min_MAE,2.461977942447508,2.4168493917644507
7,15_min_RMSE,4.393356422545493,4.248200491062097
7,30_min_MAE,3.5277099609375,3.359807203701885
7,30_min_RMSE,6.504272734962575,6.174852763454529
7,45_min_MAE,4.3770847781037245,4.128763920938073
7,45_min_RMSE,8.047669535581777,7.585420882668806
9,15_min_MAE,2.4168493917644507,2.371726559431461
9,30_min_MAE,3.359807203701885,3.346684315879484
9,45_min_MAE,4.128763920938073,4.08006985273059
10,15_min_RMSE,4.248200491062097,4.237213148586432
10,45_min_MAE,4.08006985273059,4.069999681639091
10,45_min_RMSE,7.585420882668806,7.516013148450078
11,15_min_MAPE,0.05716342012056289,0.054284731896643436
11,15_min_MAE,2.371726559431461,2.312392946349666
11,15_min_RMSE,4.237213148586432,4.1597596034719375
11,30_min_MAPE,0.08262480575709356,0.07760406318338918
11,30_min_MAE,3.346684315879484,3.1908371383215504
11,30_min_RMSE,6.174852763454529,6.011153004241091
11,45_min_MAPE,0.1031063580269525,0.09595068926335505
11,45_min_MAE,4.069999681639091,3.845993929790808
11,45_min_RMSE,7.516013148450078,7.308884741681891
15,15_min_MAE,2.312392946349666,2.308987197416495
15,15_min_RMSE,4.1597596034719375,4.143189245124184
15,30_min_MAE,3.1908371383215504,3.171985032690168
15,30_min_RMSE,6.011153004241091,5.961054719713965
15,45_min_MAE,3.845993929790808,3.816545996375033
15,45_min_RMSE,7.308884741681891,7.24408725854948
16,15_min_MAPE,0.054284731896643436,0.054053655735764025
16,15_min_RMSE,4.143189245124184,4.122189852789286
16,30_min_MAPE,0.07760406318338918,0.0775940393396434
16,45_min_MAPE,0.09595068926335505,0.09578026159485772
17,15_min_MAPE,0.054053655735764025,0.05343141563277683
17,15_min_MAE,2.308987197416495,2.272107534515948
17,15_min_RMSE,4.122189852789286,4.122056098286345
17,30_min_MAPE,0.0775940393396434,0.07631659126931006
17,30_min_MAE,3.171985032690168,3.17073974609375
17,45_min_MAPE,0.09578026159485772,0.09460563160231301
18,15_min_MAE,2.272107534515948,2.256844075520833
18,15_min_RMSE,4.122056098286345,4.06951258975735
18,30_min_MAE,3.17073974609375,3.0721938947071794
18,30_min_RMSE,5.961054719713965,5.7860163853571285
18,45_min_MAPE,0.09460563160231301,0.09331991900383849
18,45_min_MAE,3.816545996375033,3.6576377371213424
18,45_min_RMSE,7.24408725854948,6.935246675947924
20,15_min_MAE,2.256844075520833,2.2495158676702838
20,15_min_RMSE,4.06951258975735,4.040964507105035
20,30_min_MAPE,0.07631659126931006,0.07580849606817884
20,30_min_RMSE,5.7860163853571285,5.762844260920074
20,45_min_MAPE,0.09331991900383849,0.09211208825961681
21,15_min_MAPE,0.05343141563277683,0.05340936260717831
22,15_min_MAE,2.2495158676702838,2.2347928678717843
22,30_min_MAE,3.0721938947071794,3.038832640866392
22,45_min_MAE,3.6576377371213424,3.6066108857439776
22,45_min_RMSE,6.935246675947924,6.927425001713103
25,15_min_MAPE,0.05340936260717831,0.05316026082804266
25,15_min_MAE,2.2347928678717843,2.234050217533836
25,30_min_RMSE,5.762844260920074,5.7538437634736415
25,45_min_RMSE,6.927425001713103,6.867785929772411
26,15_min_MAPE,0.05316026082804266,0.052662698396621306
26,15_min_MAE,2.234050217533836,2.219787850171429
26,15_min_RMSE,4.040964507105035,4.022368588498957
26,30_min_MAPE,0.07580849606817884,0.074935801511786
26,30_min_MAE,3.038832640866392,3.011118495848267
26,30_min_RMSE,5.7538437634736415,5.703005289296976
26,45_min_MAPE,0.09211208825961681,0.09152166551868153
26,45_min_MAE,3.6066108857439776,3.5720938763215173
26,45_min_RMSE,6.867785929772411,6.809778654349575
31,15_min_MAPE,0.052662698396621306,0.052655026450086004
31,30_min_MAPE,0.074935801511786,0.07491018970027023
31,45_min_MAPE,0.09152166551868153,0.09121095757735403
33,45_min_MAPE,0.09121095757735403,0.0911622003723608
36,15_min_MAPE,0.052655026450086004,0.05236201974289927
36,30_min_MAPE,0.07491018970027023,0.07444274305017495
36,45_min_MAPE,0.0911622003723608,0.09079708804569808
45,15_min_MAE,2.219787850171429,2.213645856347375
45,30_min_MAE,3.011118495848267,3.0010276920291634
45,45_min_MAE,3.5720938763215173,3.567764909519017
47,45_min_MAPE,0.09079708804569808,0.09075625115709489
48,30_min_MAPE,0.07444274305017495,0.07432711142524745
48,45_min_MAPE,0.09075625115709489,0.0903479687734935
